date,hour,text,source,username,hashtags
2019-06-25,"3:03:33","RT @guilherme_amado: Microsoft foi contratada sem licitação https://t.co/yIJsK5KYEV #microsoft #TJSP #processos","Twitter for iPhone","RevistaEpoca","microsoft"
2019-06-25,"3:03:14","RT @guilherme_amado: Canal Ampli fez humor sobre a maior operação de combate à corrupção do continente https://t.co/XF92RlmREV #lavajato #a…","Twitter for iPhone","RevistaEpoca","lavajato"
2019-06-25,"0:21:26","RT @guilherme_amado: Os quatro executivos são delatores. https://t.co/zp5wx8U05B #Odebrecht #LavaJato #Venezuela #HugoChávez","TweetDeck","RevistaEpoca","Odebrecht"
2019-06-25,"0:20:47","RT @guilherme_amado: Em abril, Silva disse em depoimento que foi ameaçada de morte por Marcelo Álvaro. https://t.co/JzaIIOhYc1 #PSL #Bolson…","TweetDeck","RevistaEpoca","PSL"
2019-06-24,"23:09:31","Projeto da Sidewalk Labs promete mudar parte da metrópole canadense, e a reação dos moradores mostra discussões ess… https://t.co/Dy9sUDVrun","TweetDeck","RevistaEpoca",""
2019-06-24,"20:59:08","Recém-aprovado no Equador, casamento entre pessoas do mesmo sexo é permitido na Costa Rica, Argentina, Brasil, Colô… https://t.co/BTDmqS9XOB","TweetDeck","RevistaEpoca",""
2019-06-24,"18:39:25","Coluna: Ídolo dos palcos manteve seu prestígio em Berlim mesmo tendo colaborado com os nazistas. Décadas depois, pr… https://t.co/Mydwa2L3MX","TweetDeck","RevistaEpoca",""
2019-06-24,"17:30:32","Coluna: O que explica a ausência da maioria absoluta das plataformas de checagem do Brasil no Global Fact 6, o maio… https://t.co/4OvBAxhgEH","TweetDeck","RevistaEpoca",""
2019-06-24,"16:31:15","O julgamento foi adiado e Cármen é, há duas semanas, a nova presidente da Segunda Turma, encarregada de fazer a age… https://t.co/iqn8g87aAb","Twitter Web Client","RevistaEpoca",""
2019-06-24,"16:29:43","As duas equipes, que se enfrentam agora nas oitavas de final da Copa do Mundo, são exemplos antigo e novo de invest… https://t.co/FugmMBGMaw","Twitter Web Client","RevistaEpoca",""
2019-06-24,"13:10:00","A deputada federal Flordelis (PSD-RJ) prestará depoimento nesta segunda-feira sobre o assassinato de seu marido, o… https://t.co/wsyG3ytSxe","TweetDeck","RevistaEpoca",""
2019-06-23,"21:00:00","Damares reclamou do marinheiro Popeye, disse que o Pica-Pau é um personagem “arrogante, egoísta, malcriado, desobed… https://t.co/Ari8c9ubEn","TweetDeck","RevistaEpoca",""
2019-06-23,"20:51:33","Críticas ao governo Bolsonaro marcaram a 23ª edição da Parada do Orgulho LGBT na avenida Paulista. ""A gente veio pa… https://t.co/IIE7OM8Lx0","Twitter Web Client","RevistaEpoca",""
2019-06-23,"20:13:55","RT @guilherme_amado: Ele comenta sobre os personagens com suas visitas. https://t.co/WcWZfOqXAO #Cabral #LavaJato #Rio","Twitter for iPhone","RevistaEpoca","Cabral"
2019-06-23,"20:12:06","RT @guilherme_amado: Novo presidente do Inep foi advertido. https://t.co/f2rM3MogNR #Enem #Bolsonaro #Inep #educação","Twitter for iPhone","RevistaEpoca","Enem"
